rid,proc1,proc2,proc3,proc4,proc5,w1commitnum,w1commithrs,w1commitoverw,w1freetime,w3tsq8,w1tsq13,w1tsq14,gendermale,genderfemal,pro_sum,gender
166856125,4.0,4.0,3.0,4.0,2.0,5.0,19.0,3.0,2.0,4.0,7.0,3.0,0.0,1.0,17.0,Female
166856753,3.0,4.0,4.0,3.0,3.0,10.0,14.0,4.0,2.0,4.0,5.0,4.0,0.0,1.0,17.0,Female
166856764,5.0,4.0,5.0,4.0,3.0,4.0,20.0,3.0,3.0,5.0,5.0,5.0,0.0,1.0,21.0,Female
166856828,3.0,2.0,3.0,4.0,3.0,2.0,40.0,4.0,3.0,3.0,5.0,6.0,0.0,1.0,15.0,Female
166857140,3.0,2.0,4.0,2.0,2.0,2.0,14.0,3.0,3.0,3.0,5.0,3.0,0.0,1.0,13.0,Female
166857153,3.0,2.0,3.0,2.0,2.0,4.0,44.0,3.0,3.0,3.0,4.0,4.0,0.0,1.0,12.0,Female
166857155,4.0,3.0,4.0,2.0,4.0,4.0,10.0,3.0,3.0,3.0,5.0,2.0,0.0,1.0,17.0,Female
166857223,1.0,1.0,2.0,2.0,2.0,9.0,50.0,5.0,2.0,7.0,7.0,3.0,0.0,1.0,8.0,Female
166857335,4.0,3.0,3.0,2.0,2.0,9.0,30.0,3.0,2.0,4.0,5.0,4.0,1.0,0.0,14.0,Male
166857476,2.0,2.0,4.0,3.0,4.0,2.0,8.0,5.0,2.0,5.0,7.0,5.0,0.0,1.0,15.0,Female
166857478,3.0,4.0,4.0,4.0,4.0,5.0,10.0,1.0,3.0,5.0,3.0,7.0,1.0,0.0,19.0,Male
